movie,year,rating,genre,runtime_min,imdb_rating,metascore,votes,id
Unlocked,2023,No rating,"['Crime', ' Drama', ' Mystery']",117,6.4,No score,7829,ef51936d-bb9a-425b-8d27-5624e5ad4575
Asedio,2023,R,"['Action', ' Adventure', ' Crime']",100,5.5,No score,519,2025bc2c-4f9d-4569-b0cf-c120580d4adc
Shooting Stars,2023,PG-13,"['Biography', ' Drama', ' History']",116,6.5,62,1435,a149dd49-68ca-4950-9bb8-9b2d2821ebab
Babylon 5: The Road Home,2023,PG-13,"['Animation', ' Sci-Fi']",79,No rating,No score,No votes,d1971fe9-8ec2-426d-a3da-531cd0d76b0d
Magazine Dreams,2023,No rating,['Drama'],124,7.0,72,282,7c54fbf6-ee30-45ec-9fc2-3f450fc92c89
War of the Worlds: The Attack,2023,No rating,"['Sci-Fi', ' Thriller']",85,3.5,No score,1683,0171cb08-7b24-4e33-aa13-d96bed14c880
Kill Bok-soon,2023,No rating,"['Action', ' Thriller']",137,6.6,67,9769,c6e13223-6ac1-44e7-8050-bb76587be15c
The Inventor,2023,PG,"['Animation', ' Adventure', ' Comedy']",92,8.7,No score,44,7022e3fa-5a5a-4d5d-b890-dac530bbfbd0
In the Fire,2023,No rating,['Thriller'],No runtime,No rating,No score,No votes,4e0a1625-144e-408f-b110-902181899e96
Oluja,2023,No rating,"['Drama', ' War']",157,7.7,No score,984,8b860057-bf1d-42a5-a43d-94a971dde8d6
Mixed by Erry,2023,No rating,"['Comedy', ' History']",110,7.1,No score,396,82ddb177-bc75-40b1-97f2-f85fa422e0fb
